Mw,Repi,dip,mech,depth,vs30,sdrop,ev_nation_code,stn,u,v,w,psa_01_u,psa_04_u,psa_07_u,psa_100_u,psa_01_v,psa_04_v,psa_07_v,psa_100_v,psa_50_v,psa_50_u,psa_1_v,psa_1_u,psa_2_v,psa_2_u
3.9,72.2,50,NF,8.6,645.889517,24.06434249288713,IT,TOD,0.374233,0.510502,0.253724,0.510893,0.524455,0.60127,0.755938,0.25414000000000003,0.262396,0.278866,0.442121,0.412738,0.78792,0.248915,0.46821899999999994,0.031612,0.07191
3.9,95.2,50,NF,6.7,850.518468,24.06434249288713,IT,PIEI,0.19437100000000002,0.104949,-0.091125,0.1056,0.140404,0.22605,0.334985,0.09123,0.126336,0.271769,0.26639,0.072877,0.081459,0.027412,0.032747000000000005,0.015358000000000004,0.011242
3.9,63.1,50,TF,8.28,332.542227,24.06434249288713,IT,T0815,1.493962,-1.852818,0.582893,1.85505,1.9623,2.39549,5.06386,0.585823,0.6239210000000001,1.00212,1.58145,0.34067800000000004,3.22756,0.062396000000000014,0.751552,0.025782,0.216856
3.9,77.3,50,TF,8.28,443.995465,24.06434249288713,IT,CSP,2.352072,0.8635709999999999,0.410472,0.8635870000000001,0.880016,0.908919,1.01907,0.410587,0.417807,0.455675,0.482373,0.6050369999999999,2.58165,0.241391,0.621781,0.059775,0.14798499999999998
3.7,76.4,50,TF,8.2,340.610298,23.059081272511172,IT,TREG,0.542996,1.012054,-1.128847,1.01208,1.34027,2.06375,2.98022,1.1376700000000002,1.41272,3.38975,3.4262,0.565956,0.769412,0.084525,0.082804,0.016061000000000002,0.020124
3.9,98.1,50,NF,9.2,538.428785,24.06434249288713,IT,SSO,-0.038097000000000006,-0.029594,0.019063999999999998,0.029748,0.034494,0.033879,0.036121,0.019141,0.028382,0.024928,0.029553,0.063229,0.06861,0.040371,0.057128,0.019913,0.027353
3.8,86.5,50,NF,10.9,559.375908,23.55635008470179,IT,ATPC,0.267971,0.269579,0.101509,0.270369,0.293599,0.533053,0.739988,0.101824,0.129405,0.190661,0.285608,0.15395799999999998,0.273995,0.036552999999999995,0.0916,0.013863,0.018423
3.7,81.9,50,NF,10.7,511.624758,23.059081272511172,IT,ATLO,-0.16169,0.139745,-0.015635,0.140182,0.148317,0.190338,0.195975,0.015666,0.018736000000000003,0.041756,0.028403,0.027762000000000002,0.17536600000000002,0.008193,0.066624,0.0019379999999999998,0.009891
3.9,64.3,50,NF,8.6,929.25549,24.06434249288713,IT,GNU,0.7119300000000001,0.575674,0.36840300000000004,0.577717,0.6018979999999999,0.904503,1.0412,0.368643,0.386626,0.466868,0.753955,0.20674299999999998,0.33111199999999996,0.067251,0.116443,0.011857,0.023277000000000003
3.7,95.7,50,TF,5.92,374.27909,23.059081272511172,IT,SANR,1.155873,-1.160364,-0.335681,1.16508,1.24364,2.01446,4.06133,0.337196,0.406325,0.5881029999999999,1.37106,0.44569200000000003,1.04216,0.097586,0.22463200000000005,0.011953,0.060989
3.9,69.9,50,NF,8.2,559.375908,24.06434249288713,IT,ATPC,0.20636999999999997,-0.16861600000000002,-0.09275,0.169252,0.183882,0.285561,0.324373,0.0928,0.098758,0.1244,0.195695,0.15331199999999998,0.440859,0.077851,0.139181,0.028199000000000002,0.033023000000000004
3.9,115.4,50,TF,9.5,494.494954,24.06434249288713,IT,MERA,1.275424,0.8323790000000001,-0.415366,0.835068,1.12857,3.51355,3.0965700000000003,0.4163060000000001,0.572647,1.59931,1.31957,0.248962,1.06676,0.061836,0.125931,0.017143000000000002,0.030425999999999998
3.9,132.6,50,NF,8.6,616.915726,24.06434249288713,IT,CRMI,-0.018258,-0.020281,-0.013587,0.020305,0.020537,0.023529,0.035209,0.013591999999999998,0.014101,0.018265,0.038438,0.040554,0.054474,0.013475,0.023671,0.007542,0.007178
3.8,110.8,50,NF,10.9,538.428785,23.55635008470179,IT,SSO,-0.057428999999999994,0.055249,-0.030657,0.055262,0.056301,0.058333,0.068747,0.030673,0.031458,0.045104000000000005,0.045692,0.076931,0.104868,0.050842,0.053080999999999996,0.022044,0.022113999999999998
3.9,141.8,50,TF,9.5,1007.237148,24.06434249288713,IT,VDL,0.089825,0.124823,-0.122581,0.124831,0.140821,0.23388,0.189326,0.123073,0.143071,0.153515,0.281729,0.171739,0.132741,0.046567000000000004,0.050487,0.0068920000000000006,0.00744
3.9,113.5,50,TF,8.28,388.839419,24.06434249288713,IT,CAPR,0.10329400000000001,0.10585,-0.08311900000000001,0.107312,0.125507,0.177278,0.413026,0.083231,0.100685,0.213779,0.181591,0.085906,0.13833900000000002,0.04655,0.126867,0.008308,0.015084
3.8,119.2,50,SS,6.04,422.702986,23.55635008470179,IT,CTL8,0.18233,-0.35798,-0.129796,0.357986,0.363824,0.374947,0.418887,0.130129,0.14116199999999998,0.21282,0.178592,0.231584,0.494885,0.100874,0.273931,0.029513,0.146887
3.9,102.7,50,TF,23.6,494.494954,24.06434249288713,IT,MERA,0.342301,-0.276862,0.151858,0.280208,0.439507,0.905715,0.744091,0.152051,0.194905,0.5376350000000001,0.553678,0.067817,0.388281,0.029643,0.076101,0.005144,0.009704
3.9,104.3,50,NF,8.6,600.286153,24.06434249288713,IT,OSSC,0.058651,0.055994,-0.044108,0.05636,0.06312100000000001,0.061984,0.066854,0.044111,0.049742,0.050735,0.05899,0.09272000000000001,0.176794,0.061453999999999995,0.073033,0.027514,0.028097000000000004
3.8,118.4,50,SS,6.04,714.424087,23.55635008470179,IT,ASOL,-0.6783,0.521478,0.243538,0.521945,0.540219,0.625837,0.95294,0.24379,0.263805,0.339855,0.5235920000000001,0.389698,0.8444799999999999,0.21567399999999998,0.368029,0.029508999999999997,0.050051
3.9,133.9,50,TF,8.72,589.866526,24.06434249288713,IT,BDG,-0.149316,-0.214033,0.062331,0.214288,0.226243,0.288506,0.409631,0.062637,0.071703,0.086159,0.142359,0.127965,0.260894,0.064557,0.19433399999999998,0.016259,0.03705
3.6,144.6,50,TF,10.0,715.963599,22.57230968381608,IT,BVT,-0.049522000000000004,-0.057415999999999995,-0.039016,0.057448,0.060691,0.067535,0.094324,0.039219,0.050274,0.050011,0.058739,0.10914700000000001,0.137374,0.020923,0.042439,0.004438,0.007094
3.8,138.1,50,NF,10.9,470.162097,23.55635008470179,IT,POFI,0.020028,-0.019119,0.015924,0.019174,0.019895,0.022627,0.026962,0.015972999999999998,0.016316999999999998,0.018337,0.023781,0.032139999999999995,0.056596,0.024914,0.022797,0.009288,0.008402
3.7,106.8,50,TF,4.03,372.542497,23.059081272511172,IT,CNCS,-0.4708479999999999,0.339336,-0.25705500000000003,0.339559,0.366574,0.478973,0.603011,0.25705900000000004,0.272486,0.361471,0.462999,0.180515,0.60442,0.030008999999999997,0.118334,0.008933,0.012314
3.7,139.7,50,NF,10.5,553.164478,23.059081272511172,IT,MPAG,0.0449,-0.034304,0.024536000000000002,0.034319,0.040012,0.08583500000000001,0.100555,0.024724,0.029002,0.043984,0.069627,0.066506,0.055913,0.021922,0.032625,0.0040219999999999995,0.006739
3.8,129.5,50,SS,11.04,378.442082,23.55635008470179,IT,SRT,0.38090799999999997,-0.406562,0.127796,0.407619,0.454216,0.520343,0.915296,0.127853,0.162863,0.229003,0.34813,0.075907,0.299693,0.020733,0.054976,0.002941,0.008189
3.9,152.7,50,TF,9.5,988.388293,24.06434249288713,IT,SVAM,0.31085300000000005,-0.211633,-0.14670899999999998,0.213017,0.23619,0.511001,0.418295,0.148281,0.204628,0.671175,0.370746,0.15966,0.34120500000000004,0.05494500000000002,0.07381599999999999,0.014348,0.011548000000000001
3.9,169.2,50,NF,9.2,911.178534,24.06434249288713,IT,RNI2,-0.036976,-0.031299,0.022841999999999998,0.031341,0.033418,0.032686,0.03538,0.022865,0.023202,0.023023,0.022666,0.055496000000000004,0.079287,0.053467999999999995,0.070685,0.014721000000000001,0.021127
3.8,155.5,50,NF,10.9,911.178534,23.55635008470179,IT,RNI2,-0.037652,-0.029949,0.015989,0.030052,0.031016,0.036546,0.059121000000000014,0.015997,0.016661000000000002,0.016503999999999998,0.01788,0.039523,0.056151,0.036966000000000006,0.026748,0.015909,0.010981
3.7,199.7,50,SS,9.1,636.6367690000002,23.059081272511172,IT,MENA,0.18321800000000002,0.128857,-0.081957,0.12901700000000002,0.137435,0.15604300000000002,0.183771,0.082201,0.083981,0.109476,0.130353,0.069471,0.202148,0.026310000000000004,0.036005,0.0036880000000000003,0.007483
3.9,195.7,50,TF,9.5,613.311958,24.06434249288713,IT,SBUB,0.031513,0.031606,0.024083,0.031621,0.034678,0.039254,0.051783,0.024131,0.024963,0.036912,0.039939,0.07618899999999999,0.044976999999999996,0.019293,0.023865,0.008994,0.006801000000000001
3.9,192.7,50,TF,8.72,791.610279,24.06434249288713,IT,BORM,0.150545,0.088183,0.10419500000000001,0.088351,0.099524,0.175312,0.348233,0.105008,0.131778,0.198497,0.545145,0.187298,0.13323,0.029027999999999998,0.023089,0.010304,0.00775
3.9,155.6,50,TF,9.5,1058.081505,24.06434249288713,IT,BOB,-0.11993800000000004,-0.076934,-0.062329999999999997,0.077375,0.081859,0.129081,0.212856,0.062384,0.06978,0.08327999999999999,0.183734,0.176763,0.131177,0.0315,0.060127999999999994,0.0076170000000000005,0.013380000000000001
3.9,192.2,50,NF,8.6,461.898558,24.06434249288713,IT,VLC,0.006631000000000001,-0.007067,-0.007273000000000002,0.007098,0.008144,0.01013,0.015134,0.007273000000000002,0.007909999999999999,0.010835,0.016931,0.0117,0.015721000000000002,0.010272,0.010868000000000001,0.004975,0.006416
3.9,170.6,50,TF,9.5,888.016904,24.06434249288713,IT,BGN,0.083647,-0.089029,-0.051542,0.089558,0.106226,0.132694,0.215908,0.051592,0.074526,0.132888,0.177513,0.089253,0.194983,0.027441000000000004,0.034432,0.009685,0.005405
3.9,185.8,50,SS,12.3,1221.184212,24.06434249288713,IT,TIP,0.00449,-0.003859000000000001,0.004719,0.003874,0.0040030000000000005,0.004065,0.004904,0.004728,0.005211,0.00717,0.006827,0.012717000000000001,0.010073,0.004556,0.005515,0.0020440000000000002,0.00237
3.8,187.8,50,SS,6.04,553.164478,23.55635008470179,IT,MPAG,-0.019859,0.023333,0.016978,0.02336,0.024268,0.026512,0.045978,0.017043,0.018837,0.02115,0.032773000000000004,0.024783000000000003,0.035135,0.013194999999999998,0.021808,0.004483,0.00504
3.7,171.0,50,SS,9.1,413.017,23.059081272511172,IT,VOBA,-0.21585700000000002,-0.283918,-0.18543800000000002,0.285487,0.301917,0.373282,0.471864,0.185449,0.25705300000000003,0.748486,0.43231,0.07470700000000001,0.16783900000000002,0.033406,0.043248,0.004419,0.0069299999999999995
3.6,163.0,50,TF,10.0,469.647131,22.57230968381608,IT,FIVI,0.041371,0.046956,-0.063572,0.047281,0.062572,0.114519,0.103692,0.064292,0.126105,0.22127,0.168777,0.060792,0.073451,0.02292,0.027094,0.0065260000000000006,0.007354
3.6,182.0,50,TF,10.0,680.125744,22.57230968381608,IT,PURA,0.045475,-0.07950700000000001,0.035429,0.07988200000000001,0.084423,0.101921,0.133222,0.035453,0.038034,0.052637,0.062917,0.053814999999999995,0.10006,0.021925,0.060075,0.0051719999999999995,0.0056229999999999995
3.8,182.8,50,NF,6.78,791.610279,23.55635008470179,IT,BORM,-0.107884,0.065813,0.081737,0.066341,0.074722,0.165959,0.184943,0.08188,0.086073,0.175209,0.221549,0.073081,0.066216,0.050306000000000003,0.027402,0.010062,0.008583
3.8,227.6,50,TF,10.4,398.901209,23.55635008470179,IT,DSG,0.346788,-0.303397,0.13053499999999998,0.30340500000000004,0.368407,0.95796,1.0283799999999998,0.130734,0.164723,0.236213,0.288345,0.10594200000000001,0.305747,0.034774,0.051927,0.007625,0.009715000000000001
3.6,222.5,50,TF,10.0,809.164766,22.57230968381608,IT,BGR,-0.020006,0.023097,-0.015241999999999999,0.023098,0.028152,0.028575,0.036051,0.015356,0.017444,0.016004,0.018418,0.057627,0.082256,0.014838999999999996,0.02331,0.003009,0.0049039999999999995
3.9,200.4,50,NF,9.2,960.337609,24.06434249288713,IT,VAGA,0.008364,0.013044,0.007176,0.013048,0.013406,0.013911,0.016073,0.007176,0.007678,0.007645999999999998,0.007785999999999999,0.019312,0.041567,0.013288999999999999,0.021633000000000003,0.004817,0.006745
3.6,204.2,50,TF,10.0,511.326993,22.57230968381608,IT,ACQ,-0.13431700000000002,-0.145169,-0.051678999999999996,0.14518599999999998,0.196615,0.257768,0.338145,0.052176,0.092327,0.21655500000000005,0.137699,0.053058,0.115495,0.009312,0.017217,0.002561,0.009826999999999999
3.7,209.1,50,SS,9.1,1013.023334,23.059081272511172,IT,BELV,-0.040968,0.04668,0.030688,0.046771,0.051538,0.054399,0.064384,0.030712,0.032092,0.041777,0.052952,0.026180000000000002,0.080927,0.018623,0.042899,0.0033770000000000002,0.006781999999999999
3.8,221.4,50,SS,6.04,627.588535,23.55635008470179,IT,CESC,-0.130399,-0.062939,-0.09698899999999999,0.063316,0.076737,0.082866,0.174288,0.097228,0.101482,0.139472,0.188729,0.252362,0.108758,0.074671,0.055584,0.014602,0.010147
3.9,224.4,50,TF,23.6,724.215757,24.06434249288713,IT,SCUC,-0.070203,0.086501,-0.099734,0.086845,0.265789,0.292577,0.139759,0.106403,0.478319,0.30373,0.112588,0.048652,0.043148,0.012925999999999998,0.010731999999999998,0.001766,0.0017829999999999999
3.9,219.4,50,TF,8.72,627.588535,24.06434249288713,IT,CESC,-0.23396999999999998,0.084152,-0.159773,0.084445,0.093809,0.123049,0.220156,0.16022999999999998,0.167037,0.184005,0.270529,0.33253,0.157184,0.061492999999999985,0.054803,0.011755,0.007675
3.9,220.1,50,TF,8.72,603.230104,24.06434249288713,IT,DST2,-0.056290999999999994,0.072494,-0.040656,0.073026,0.090797,0.08784600000000001,0.110591,0.040733,0.05909800000000001,0.055674,0.062765,0.10313499999999999,0.118476,0.029169,0.047124,0.008408,0.0070989999999999985
3.7,200.8,50,SS,9.1,875.419739,23.059081272511172,IT,BNO,-0.027032,0.039248000000000005,0.034162,0.039327,0.046006,0.043668,0.076101,0.034285,0.034276,0.047346,0.077537,0.04205,0.062268,0.027831,0.027957999999999997,0.003003,0.0042439999999999995
3.7,209.6,50,SS,9.1,772.865952,23.059081272511172,IT,RONC,0.134403,-0.1224,0.05081,0.122631,0.125554,0.154797,0.195006,0.050841,0.054221000000000005,0.066646,0.084699,0.060577,0.10409500000000001,0.013669,0.0321,0.002873,0.007773
3.8,201.2,50,SS,11.04,1018.790071,23.55635008470179,IT,CUC,-0.006442,-0.003118,0.0033880000000000004,0.00315,0.005464,0.008511,0.01008,0.003409,0.005708,0.007595999999999999,0.009035,0.0070030000000000005,0.006553,0.00201,0.0030800000000000003,0.000522,0.000549
3.8,227.9,50,TF,10.4,875.419739,23.55635008470179,IT,BNO,0.081649,-0.095112,0.059240999999999995,0.095621,0.102287,0.148285,0.224907,0.059686,0.060184,0.106718,0.204543,0.105094,0.08027000000000001,0.035410000000000004,0.042112000000000004,0.007297,0.005667
3.7,217.4,50,SS,9.1,1085.200012,23.059081272511172,IT,NCER,-0.017958000000000002,-0.012916,-0.009302,0.013005,0.025413,0.01851,0.020589,0.009305,0.019707,0.022751,0.016622,0.015452,0.018452,0.007814,0.014238999999999996,0.002573,0.0035060000000000004
3.6,217.0,50,TF,10.0,926.462503,22.57230968381608,IT,MCS,-0.055050999999999996,-0.06439,0.031579,0.065565,0.188448,0.153436,0.082565,0.032978,0.086838,0.046418,0.056233000000000005,0.041139,0.064525,0.010954,0.016357,0.002791,0.0034850000000000003
3.8,253.1,50,TF,10.4,359.259753,23.55635008470179,IT,CRP,-0.062075,-0.066833,0.026086,0.067086,0.070121,0.101317,0.136744,0.0262,0.035922,0.061065,0.07009,0.018761,0.120617,0.0083,0.051684,0.003307,0.014934000000000001
3.7,283.5,50,SS,9.1,549.122186,23.059081272511172,IT,VALS,-0.041231,-0.034092000000000004,0.023250999999999997,0.034213,0.04005,0.055062,0.061438,0.023253,0.027968,0.043417,0.06946799999999999,0.026135000000000002,0.031506,0.007093,0.010967,0.002602,0.002176
3.9,263.1,50,NF,6.7,782.385837,24.06434249288713,IT,MNG,-0.042206,0.031954,0.022455000000000003,0.032008,0.035081,0.037852,0.057075,0.022501,0.023673,0.029103,0.040384,0.042602,0.10491600000000001,0.021322,0.03199,0.007225,0.00943
3.9,294.0,50,NF,8.6,557.617529,24.06434249288713,IT,POLC,0.200638,0.29580500000000004,0.12234500000000001,0.309814,0.267264,0.274873,0.317137,0.126595,0.12548399999999998,0.164823,0.235646,0.23056500000000002,1.00146,0.13284300000000002,0.170741,0.033648000000000004,0.075124
4.1,21.9,50,NF,9.8,773.763258,25.11342810111489,IT,MTR,-2.4839849999999997,4.22975,1.464151,4.31241,5.60737,18.1913,7.033710000000001,1.46426,4.83527,3.9794,3.11254,1.8452,1.3746,0.934054,1.2617399999999999,0.26662399999999997,0.250983
4.0,5.4,50,NF,8.5,762.891893,24.58328975128685,IT,T1214,-25.812975,27.611107,-13.278011,28.0208,41.1204,59.3464,71.4636,13.3338,22.1698,20.4975,30.0727,9.466239999999999,12.1409,7.0388399999999995,7.403389999999999,1.06489,2.28134
4.0,17.4,50,NF,11.8,537.914756,24.58328975128685,IT,T1212,-3.2723150000000003,-3.007832,2.092746,3.03877,4.39886,5.83069,12.2194,2.10019,4.05698,7.8773300000000015,9.58814,0.368343,0.671609,0.230598,0.400978,0.036026999999999997,0.048714
4.2,36.6,50,NF,8.0,901.911401,25.65499887812425,IT,AQK,-1.693438,-2.125343,1.589533,2.1307400000000003,4.23198,5.7141199999999985,6.5673,1.60448,2.75641,4.37522,3.87151,2.53425,3.60661,1.20859,1.3022200000000002,0.10926099999999997,0.189153
4.1,29.5,50,NF,33.21,1417.511799,25.11342810111489,IT,ARE,4.9357169999999995,-6.363759,4.523979,6.37515,8.441980000000001,14.2926,17.574,4.52414,5.50844,16.4322,11.0838,0.9274379999999999,1.63418,0.240756,0.5423140000000001,0.051355,0.10194299999999999
