Mw,Repi,dip,mech,depth,vs30,sdrop,ev_nation_code,stn,u,v,w,psa_01_u,psa_04_u,psa_07_u,psa_100_u,psa_01_v,psa_04_v,psa_07_v,psa_100_v
4.3,20.9,50,NF,8.3,960.4749220000001,37.99162763753118,IT,SALB,-4.677673,-2.86595,1.877817,4.68017,4.91953,6.06666,7.84951,1.88285,1.95503,2.5294,4.16079
4.3,105.4,50,NF,8.3,319.897575,37.99162763753118,IT,SERS,-0.049473,0.054914,-0.037049,0.049494,0.050122,0.051132,0.054737,0.037054,0.037923,0.044445,0.061295
4.3,153.8,50,NF,8.3,652.77283,37.99162763753118,IT,SGTA,-0.030194,-0.01571,0.012877,0.030244,0.031265,0.030351,0.031714,0.012877,0.013595,0.013772,0.013863999999999998
4.3,22.1,50,NF,8.3,415.286684,37.99162763753118,IT,T0712,-1.080823,-0.6794479999999999,0.548412,1.08086,1.16242,2.20547,3.9699,0.554841,0.983312,1.34657,1.60521
4.3,11.2,50,NF,8.3,561.587983,37.99162763753118,IT,T0716,-6.475201,-9.426763,-5.691718,6.540019999999998,8.47435,23.4148,30.2164,5.72664,10.5349,15.6818,20.2615
4.0,205.9,50,TF,6.9,612.89861,37.99162763753118,IT,SCEL,-0.12683599999999998,-0.1685,0.039328,0.127032,0.134944,0.172177,0.232564,0.039439,0.046922000000000005,0.060221,0.079099
4.0,181.2,50,TF,6.9,1028.303699,23.059081272511175,IT,SCUC,0.217653,0.212384,0.132848,0.217869,0.235359,0.272336,0.340846,0.133747,0.166544,0.185199,0.236328
4.0,173.0,50,TF,6.9,916.335092,23.059081272511175,IT,STSP,-0.316648,0.336735,-0.20702,0.317245,0.342689,0.341871,0.453621,0.207592,0.212391,0.255587,0.240104
4.0,192.5,50,TF,6.9,653.983028,23.059081272511175,IT,SZER,0.128852,0.096757,0.074127,0.129141,0.13338699999999998,0.12766,0.207589,0.074173,0.07559400000000001,0.092233,0.092423
4.0,62.0,50,TF,6.9,981.1866890000001,23.059081272511175,IT,ASOL,1.328667,2.130846,-0.898018,1.33316,1.38302,1.94928,2.69143,0.913034,1.22023,2.36285,1.81541
4.0,161.6,50,TF,6.9,733.337454,23.059081272511175,IT,BAG8,0.592963,-0.674766,0.416228,0.5930529999999999,0.615054,0.649981,0.757939,0.417063,0.449304,0.534083,0.6074579999999999
